genre,bpm,rolloff,centroid,rms,zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
1,95.703125,5290.701341186145,2557.543822413267,0.24898799,81328,7.987372,79.74049,-14.296585,37.419704,-2.8967092,9.842994,-5.005181,6.810163,-1.5833044,1.5577703,-0.23958892,8.963516,-5.759737
1,103.359375,6063.904999062742,3047.302924734761,0.32556114,102865,48.940136,62.722572,-5.886366,42.05607,-2.4722905,15.814528,1.2059672,10.701329,0.5498485,5.438165,-1.1193262,9.129117,-0.84942853
1,135.99917763157896,5294.859649374758,3015.9644125745563,0.14034234,125400,-64.627205,43.71983,-11.004398,88.343636,8.338187,8.727283,3.209645,7.177145,4.2333484,2.649901,-5.3933816,6.5177536,-7.831575
1,198.76802884615384,6357.036559869631,3253.9996019958653,0.18360017,117243,-16.92472,48.089123,-1.7792481,47.06831,3.3388958,14.594375,-0.3531703,21.732952,-4.832181,9.687179,9.131412,4.7649374,-2.954789
1,129.19921875,6048.063428187887,2790.5154059417505,0.1476964,75883,-51.73443,65.3363,9.019959,48.28436,9.443915,14.6211605,2.522213,8.009312,-1.8605127,4.659417,-0.7916855,5.018587,-2.2883308
1,161.4990234375,5854.847929868904,2606.136754215275,0.2960969,65010,14.52946,75.08087,-3.0118484,36.103886,14.572356,17.90798,5.5836906,11.268128,-4.534418,6.494758,-5.9330864,9.728006,1.0223863
1,198.76802884615384,5433.575477245791,2754.1611028159195,0.2535805,85205,12.20383,67.18484,-11.356304,47.155834,8.436474,8.34765,10.442059,6.829262,5.619482,5.1984487,1.8540511,9.769919,-1.7362843
1,135.99917763157896,5805.064897566757,2914.25717502897,0.2908394,101084,48.982685,65.850494,-17.663595,32.868347,2.5779905,17.188728,4.380497,12.37708,2.4462676,5.361209,0.6613787,7.947157,-0.87763906
1,172.265625,5344.676014808679,2577.088776581723,0.3106287,76760,27.52914,77.11407,-9.585534,42.08443,1.7760417,20.49974,3.451492,8.263507,4.074287,10.776071,-2.3145614,8.378972,-0.5387673
1,107.666015625,6911.683205997243,3413.6945481288494,0.15792984,115056,-33.74696,45.853565,22.082693,49.581993,3.1124182,8.044463,1.4091195,10.046118,-7.467404,-0.18131344,1.0689604,5.3998647,-5.269432
1,99.38401442307692,4505.68942137916,2395.9804511437765,0.29504722,97907,22.631178,84.510895,-29.724434,50.791553,2.506666,4.440642,2.1714382,18.348093,1.9043921,5.2859106,5.180725,11.79028,-5.546876
1,151.99908088235293,5679.965654024768,2983.845703566095,0.17624216,104225,-30.794922,51.8337,-7.4506884,60.180424,0.017385194,10.671834,3.7231011,15.368814,-4.4522943,0.5255406,0.3949935,4.076691,-6.7386265
1,184.5703125,6021.205257262239,3055.5054122110637,0.2824994,91981,12.90963,42.939404,-12.610236,53.684162,18.472713,22.125864,15.86665,19.045626,3.3210778,6.0745354,4.0534186,8.44694,-5.2096186
1,117.45383522727273,6067.738309216573,2925.1247522975277,0.3321348,83398,45.24939,62.324997,-13.806263,30.079454,7.145751,22.366613,4.9405885,15.508379,7.2931356,9.15464,3.011486,7.7828054,-0.021674944
1,103.359375,5528.283237894253,2769.8167239641207,0.297334,93622,21.42564,67.96604,-16.363762,46.260956,-1.263036,20.907177,1.3627759,12.76205,9.309705,9.369306,4.4052296,8.753469,4.4065146
1,151.99908088235293,5702.265519180534,2749.025428445697,0.15411364,91740,-24.739828,72.08335,-6.324095,37.13389,2.9476757,7.408105,0.099677026,12.6375475,3.8660643,6.368407,4.2779512,8.85123,-2.8080068
1,123.046875,5234.760012789038,2526.3589116981057,0.35146102,80832,54.35889,84.06552,-25.862082,28.220703,-7.092781,19.203869,5.7892656,18.363373,6.197503,8.917002,2.7981243,10.104211,-0.27286002
1,143.5546875,5577.041276394399,2632.403312308114,0.31272566,74042,34.04464,73.826096,-23.29252,17.721405,5.4831247,21.671509,5.143173,12.69517,6.555944,15.904158,5.291523,12.064083,5.777423
1,112.34714673913044,5413.9089295000485,2806.40198331412,0.2367119,100389,12.001099,62.22245,-22.4361,47.35021,16.811405,15.966569,6.135506,8.686606,2.9858294,5.495169,-2.9580348,11.118334,-7.738005
1,99.38401442307692,5874.706143122339,3073.5187832361567,0.117291905,106663,-62.455128,53.404987,-6.373801,50.129066,2.3378131,11.559053,6.3465967,7.6623588,-1.4246647,0.63025165,-2.358797,-0.63655716,-7.631057
1,107.666015625,4221.516139736116,2185.10345994983,0.21078846,85363,9.74602,103.97914,-32.589874,26.88179,-0.5998288,6.402495,-8.200983,4.218528,-4.0448856,0.8820644,-4.758342,-1.5010906,-4.82906
1,161.4990234375,5321.184490192048,2462.4648159317344,0.30141547,65005,20.082865,81.06974,-12.3756695,38.274235,5.7500324,19.843561,1.8015131,16.661705,3.442957,7.1198797,0.59162325,10.166217,-4.5049553
1,123.046875,6183.629275106424,2884.1732034921192,0.2257501,80050,-5.704211,60.826637,-1.7803845,44.91217,18.203192,13.565176,5.955907,12.155746,4.452828,10.047129,-4.5581856,4.8167667,-1.5946404
1,92.28515625,5397.100697803792,2686.705653694605,0.26292163,96422,21.311235,69.44794,-24.496742,41.148796,2.489682,23.684414,2.8040714,17.077108,3.9106898,12.107814,1.9200033,11.609856,-0.84927016
1,112.34714673913044,5831.2647391399,2449.193453143647,0.3333476,57919,16.974855,78.89505,9.794519,41.356396,19.813522,14.972913,-2.3428226,7.6463847,-3.546248,6.344301,-2.20525,3.7153993,-6.3219585
1,103.359375,5530.024894029363,2797.598134942062,0.22569582,88535,-21.295364,59.34534,-2.5265546,62.38459,0.730881,10.389534,2.7075799,11.757114,-1.0243255,7.8793197,3.5290604,8.709808,-4.6015935
1,129.19921875,5846.5563133405085,2908.533250030936,0.2106446,95576,-3.921804,57.42213,-8.810696,48.990627,12.660984,16.271563,4.3606668,10.273676,10.080559,11.144338,4.3818245,9.290393,-4.103278
1,184.5703125,5022.986293355747,2456.9568462050406,0.2999396,82366,35.456676,85.817,-17.494528,41.509773,-2.1516147,10.837058,0.49719003,12.193462,1.0894631,5.765265,-0.8641522,6.42799,-3.3433268
1,112.34714673913044,5105.277462418972,2640.465722823457,0.27569154,92835,30.86515,74.30287,-27.555815,38.628204,4.5038586,10.329704,1.9215411,8.888437,2.7531624,12.144093,-2.000765,7.9746118,-0.8955976
